CID,CHEMBL2363273,CHEMBL3888267,CHEMBL3706312,CHEMBL830838,count_Zscore>3.0,min_Zscore,mean_Zscore,max_Zscore
CHEMBL94657,13.497,-1.175,4.296,-2.465,2.0,-2.46,3.54,13.5
CHEMBL2206040,8.986,3.599,1.34,-1.94,2.0,-1.94,3.0,8.99
CHEMBL2220180,8.986,3.599,1.34,-1.94,2.0,-1.94,3.0,8.99
CHEMBL3622647,7.835,3.206,0.138,0.514,2.0,0.14,2.92,7.84
CHEMBL513909,7.066,0.183,4.098,0.108,2.0,0.11,2.86,7.07
CHEMBL2206049,8.867,3.467,1.15,-2.228,2.0,-2.23,2.81,8.87
CHEMBL2220182,8.867,3.467,1.15,-2.228,2.0,-2.23,2.81,8.87
CHEMBL96926,9.399,0.106,4.267,-2.773,2.0,-2.77,2.75,9.4
CHEMBL2206054,8.687,3.324,1.19,-2.219,2.0,-2.22,2.75,8.69
CHEMBL2220129,8.687,3.324,1.19,-2.219,2.0,-2.22,2.75,8.69
CHEMBL2206036,8.892,3.099,1.22,-2.384,2.0,-2.38,2.71,8.89
CHEMBL2220264,8.892,3.099,1.22,-2.384,2.0,-2.38,2.71,8.89
CHEMBL2206035,8.842,3.172,1.23,-2.464,2.0,-2.46,2.7,8.84
CHEMBL2220131,8.842,3.172,1.23,-2.464,2.0,-2.46,2.7,8.84
CHEMBL4591606,6.367,4.639,1.102,-1.36,2.0,-1.36,2.69,6.37
CHEMBL2181593,8.278,3.767,0.865,-2.176,2.0,-2.18,2.68,8.28
CHEMBL2206041,9.019,3.221,0.453,-1.969,2.0,-1.97,2.68,9.02
CHEMBL2219997,9.019,3.221,0.453,-1.969,2.0,-1.97,2.68,9.02
CHEMBL4074633,0.642,3.237,5.55,1.241,2.0,0.64,2.67,5.55
CHEMBL2206051,8.947,3.26,0.694,-2.244,2.0,-2.24,2.66,8.95
CHEMBL2220078,8.947,3.26,0.694,-2.244,2.0,-2.24,2.66,8.95
CHEMBL2206056,9.031,3.067,1.104,-2.581,2.0,-2.58,2.66,9.03
CHEMBL2220181,9.031,3.067,1.104,-2.581,2.0,-2.58,2.66,9.03
CHEMBL2179935,8.45,3.834,0.774,-2.506,2.0,-2.51,2.64,8.45
CHEMBL2206055,8.954,3.005,1.048,-2.496,2.0,-2.5,2.63,8.95
CHEMBL2220055,8.954,3.005,1.048,-2.496,2.0,-2.5,2.63,8.95
CHEMBL3622644,6.086,3.559,1.007,-0.139,2.0,-0.14,2.63,6.09
CHEMBL3786881,7.668,-0.149,-0.955,3.932,2.0,-0.96,2.62,7.67
CHEMBL3787202,7.668,-0.149,-0.955,3.932,2.0,-0.96,2.62,7.67
CHEMBL2163850,1.21,3.376,4.769,1.098,2.0,1.1,2.61,4.77
CHEMBL2022544,8.791,3.024,0.673,-2.043,2.0,-2.04,2.61,8.79
CHEMBL2163842,0.514,3.06,5.554,1.296,2.0,0.51,2.61,5.55
CHEMBL3291069,8.807,3.134,1.376,-2.921,2.0,-2.92,2.6,8.81
CHEMBL2206039,8.946,3.052,0.954,-2.566,2.0,-2.57,2.6,8.95
CHEMBL2220338,8.946,3.052,0.954,-2.566,2.0,-2.57,2.6,8.95
CHEMBL2206032,9.056,3.16,0.798,-2.676,2.0,-2.68,2.58,9.06
CHEMBL2219961,9.056,3.16,0.798,-2.676,2.0,-2.68,2.58,9.06
CHEMBL229631,8.447,3.407,0.826,-2.342,2.0,-2.34,2.58,8.45
CHEMBL2206052,8.917,3.119,0.708,-2.444,2.0,-2.44,2.58,8.92
CHEMBL2220056,8.917,3.119,0.708,-2.444,2.0,-2.44,2.58,8.92
CHEMBL387753,8.278,3.202,1.198,-2.409,2.0,-2.41,2.57,8.28
CHEMBL2163849,0.485,3.747,4.882,1.142,2.0,0.48,2.56,4.88
CHEMBL3400566,8.329,3.691,0.794,-2.621,2.0,-2.62,2.55,8.33
CHEMBL34259,12.778,-1.505,-5.491,4.373,2.0,-5.49,2.54,12.78
CHEMBL376163,8.608,3.073,0.873,-2.404,2.0,-2.4,2.54,8.61
CHEMBL3291068,8.829,3.437,0.841,-3.004,2.0,-3.0,2.53,8.83
CHEMBL4538717,6.847,4.816,-0.105,-1.466,2.0,-1.47,2.52,6.85
CHEMBL2206057,8.882,3.061,0.554,-2.419,2.0,-2.42,2.52,8.88
CHEMBL2220162,8.882,3.061,0.554,-2.419,2.0,-2.42,2.52,8.88
CHEMBL4474373,0.639,3.048,5.042,1.343,2.0,0.64,2.52,5.04
CHEMBL82533,0.327,3.773,5.355,0.616,2.0,0.33,2.52,5.36
CHEMBL315349,0.541,3.187,4.903,1.433,2.0,0.54,2.52,4.9
CHEMBL3291067,8.853,3.317,1.289,-3.398,2.0,-3.4,2.52,8.85
CHEMBL470630,1.214,3.337,4.983,0.513,2.0,0.51,2.51,4.98
CHEMBL4464792,6.326,4.465,0.366,-1.12,2.0,-1.12,2.51,6.33
CHEMBL3358159,-0.23,3.183,5.627,1.453,2.0,-0.23,2.51,5.63
CHEMBL387561,8.271,3.35,1.356,-2.968,2.0,-2.97,2.5,8.27
CHEMBL374593,8.337,3.208,0.719,-2.266,2.0,-2.27,2.5,8.34
CHEMBL2314545,6.702,4.284,1.047,-2.108,2.0,-2.11,2.48,6.7
CHEMBL2163848,0.1,3.48,4.955,1.378,2.0,0.1,2.48,4.96
CHEMBL426362,8.183,3.399,1.029,-2.716,2.0,-2.72,2.47,8.18
CHEMBL269152,8.553,3.044,0.814,-2.521,2.0,-2.52,2.47,8.55
CHEMBL1269229,8.578,3.122,0.088,-1.903,2.0,-1.9,2.47,8.58
CHEMBL4443921,6.277,4.232,0.419,-1.077,2.0,-1.08,2.46,6.28
CHEMBL499674,7.225,3.639,1.006,-2.022,2.0,-2.02,2.46,7.22
CHEMBL508136,7.288,3.442,1.085,-1.972,2.0,-1.97,2.46,7.29
CHEMBL3400567,8.042,3.234,0.663,-2.106,2.0,-2.11,2.46,8.04
CHEMBL228602,8.312,3.343,1.045,-2.879,2.0,-2.88,2.46,8.31
CHEMBL387562,8.094,3.656,1.097,-3.035,2.0,-3.04,2.45,8.09
CHEMBL2181591,8.112,3.372,0.775,-2.474,2.0,-2.47,2.45,8.11
CHEMBL4104890,1.788,3.015,4.36,0.622,2.0,0.62,2.45,4.36
CHEMBL4579324,6.118,4.615,0.358,-1.306,2.0,-1.31,2.45,6.12
CHEMBL4088293,0.874,3.197,4.504,1.205,2.0,0.87,2.44,4.5
CHEMBL503820,6.394,5.186,0.431,-2.246,2.0,-2.25,2.44,6.39
CHEMBL504478,7.442,3.552,0.834,-2.078,2.0,-2.08,2.44,7.44
CHEMBL1190980,8.361,3.253,0.843,-2.708,2.0,-2.71,2.44,8.36
CHEMBL541959,8.361,3.253,0.843,-2.708,2.0,-2.71,2.44,8.36
CHEMBL374591,8.255,3.245,0.655,-2.423,2.0,-2.42,2.43,8.26
CHEMBL450894,7.233,3.19,1.197,-1.89,2.0,-1.89,2.43,7.23
CHEMBL229732,8.186,3.263,1.125,-2.851,2.0,-2.85,2.43,8.19
CHEMBL2022541,8.646,3.078,0.549,-2.565,2.0,-2.56,2.43,8.65
CHEMBL3622645,6.041,3.481,0.31,-0.131,2.0,-0.13,2.42,6.04
CHEMBL4086760,6.583,4.978,0.454,-2.317,2.0,-2.32,2.42,6.58
CHEMBL2407573,8.853,3.002,0.216,-2.384,2.0,-2.38,2.42,8.85
CHEMBL3976338,8.853,3.002,0.216,-2.384,2.0,-2.38,2.42,8.85
CHEMBL388110,8.295,3.356,0.899,-2.878,2.0,-2.88,2.42,8.3
CHEMBL4566981,6.11,4.468,0.385,-1.302,2.0,-1.3,2.42,6.11
CHEMBL500026,6.717,4.273,0.76,-2.104,2.0,-2.1,2.41,6.72
CHEMBL443339,8.312,3.233,0.595,-2.497,2.0,-2.5,2.41,8.31
CHEMBL3622642,6.428,3.197,0.039,-0.03,2.0,-0.03,2.41,6.43
CHEMBL1196255,8.228,3.257,0.77,-2.625,2.0,-2.62,2.41,8.23
CHEMBL556323,8.228,3.257,0.77,-2.625,2.0,-2.62,2.41,8.23
CHEMBL1197213,8.079,3.352,0.651,-2.465,2.0,-2.46,2.4,8.08
CHEMBL507246,7.188,3.57,0.77,-1.913,2.0,-1.91,2.4,7.19
CHEMBL562779,8.079,3.352,0.651,-2.465,2.0,-2.46,2.4,8.08
CHEMBL1196647,8.297,3.171,0.721,-2.578,2.0,-2.58,2.4,8.3
CHEMBL229630,8.16,3.395,0.833,-2.776,2.0,-2.78,2.4,8.16
CHEMBL557752,8.297,3.171,0.721,-2.578,2.0,-2.58,2.4,8.3
CHEMBL2179929,8.399,3.889,0.289,-2.975,2.0,-2.98,2.4,8.4
CHEMBL438481,8.106,3.036,1.086,-2.638,2.0,-2.64,2.4,8.11
CHEMBL446009,7.243,3.471,0.836,-1.974,2.0,-1.97,2.39,7.24
CHEMBL504450,8.339,3.303,0.785,-2.849,2.0,-2.85,2.39,8.34
CHEMBL2022540,8.533,3.13,0.565,-2.66,2.0,-2.66,2.39,8.53
CHEMBL4079268,7.033,3.758,0.717,-1.966,2.0,-1.97,2.39,7.03
CHEMBL449921,8.171,3.392,0.872,-2.896,2.0,-2.9,2.38,8.17
CHEMBL3358161,0.718,3.07,4.479,1.264,2.0,0.72,2.38,4.48
CHEMBL376399,8.162,3.257,0.792,-2.686,2.0,-2.69,2.38,8.16
CHEMBL4099076,7.022,3.779,0.329,-1.605,2.0,-1.6,2.38,7.02
CHEMBL388083,8.359,3.107,0.733,-2.679,2.0,-2.68,2.38,8.36
CHEMBL4076468,6.73,4.637,-0.132,-1.714,2.0,-1.71,2.38,6.73
CHEMBL269150,8.159,3.15,0.858,-2.689,2.0,-2.69,2.37,8.16
CHEMBL509111,6.68,4.161,0.444,-1.803,2.0,-1.8,2.37,6.68
CHEMBL1971084,6.49,-0.111,-1.063,4.152,2.0,-1.06,2.37,6.49
CHEMBL1993495,6.49,-0.111,-1.063,4.152,2.0,-1.06,2.37,6.49
CHEMBL1997382,6.49,-0.111,-1.063,4.152,2.0,-1.06,2.37,6.49
CHEMBL2006949,6.49,-0.111,-1.063,4.152,2.0,-1.06,2.37,6.49
CHEMBL3244634,6.49,-0.111,-1.063,4.152,2.0,-1.06,2.37,6.49
CHEMBL2179931,8.536,3.978,0.003,-3.059,2.0,-3.06,2.36,8.54
CHEMBL3622628,5.213,3.276,1.177,-0.229,2.0,-0.23,2.36,5.21
CHEMBL2179934,8.348,3.809,-0.057,-2.702,2.0,-2.7,2.35,8.35
CHEMBL2022539,8.58,3.024,0.323,-2.536,2.0,-2.54,2.35,8.58
CHEMBL4059773,6.971,4.047,0.336,-1.967,2.0,-1.97,2.35,6.97
CHEMBL504168,6.556,3.98,1.104,-2.256,2.0,-2.26,2.35,6.56
CHEMBL1197248,8.429,3.162,0.633,-2.845,2.0,-2.84,2.35,8.43
CHEMBL563785,8.429,3.162,0.633,-2.845,2.0,-2.84,2.35,8.43
CHEMBL374592,8.068,3.187,0.721,-2.618,2.0,-2.62,2.34,8.07
CHEMBL2179932,8.74,3.006,0.105,-2.499,2.0,-2.5,2.34,8.74
CHEMBL425660,8.261,3.191,0.581,-2.689,2.0,-2.69,2.34,8.26
CHEMBL512673,0.8,3.824,4.495,0.216,2.0,0.22,2.33,4.5
CHEMBL506461,6.639,4.095,0.382,-1.784,2.0,-1.78,2.33,6.64
CHEMBL2179937,8.443,3.561,0.349,-3.032,2.0,-3.03,2.33,8.44
CHEMBL500136,7.326,3.36,0.635,-2.027,2.0,-2.03,2.32,7.33
CHEMBL55775,6.999,-0.541,-1.335,4.165,2.0,-1.34,2.32,7.0
CHEMBL4072028,6.627,3.003,0.393,-0.744,2.0,-0.74,2.32,6.63
CHEMBL526001,7.067,3.347,0.594,-1.739,2.0,-1.74,2.32,7.07
CHEMBL229733,8.651,3.408,0.857,-3.659,2.0,-3.66,2.31,8.65
CHEMBL2407568,8.522,3.404,1.017,-3.685,2.0,-3.68,2.31,8.52
CHEMBL469986,0.791,3.466,4.979,0.005,2.0,0.0,2.31,4.98
CHEMBL524306,8.34,3.07,0.588,-2.761,2.0,-2.76,2.31,8.34
CHEMBL1189282,8.33,3.112,0.539,-2.747,2.0,-2.75,2.31,8.33
CHEMBL538444,8.33,3.112,0.539,-2.747,2.0,-2.75,2.31,8.33
CHEMBL3039521,5.982,4.532,0.099,-1.384,2.0,-1.38,2.31,5.98
CHEMBL4063657,6.958,4.06,0.545,-2.363,2.0,-2.36,2.3,6.96
CHEMBL196415,8.135,-0.977,3.278,-1.249,2.0,-1.25,2.3,8.14
CHEMBL3765810,6.967,3.042,-0.354,-0.478,2.0,-0.48,2.29,6.97
CHEMBL2181587,8.198,3.176,0.498,-2.71,2.0,-2.71,2.29,8.2
CHEMBL3244645,5.494,0.236,-0.746,4.169,2.0,-0.75,2.29,5.49
CHEMBL3400568,8.273,3.56,0.362,-3.042,2.0,-3.04,2.29,8.27
CHEMBL3939127,8.273,3.56,0.362,-3.042,2.0,-3.04,2.29,8.27
CHEMBL4068998,0.024,3.496,4.443,1.177,2.0,0.02,2.28,4.44
CHEMBL4554859,5.835,4.533,0.29,-1.523,2.0,-1.52,2.28,5.84
